en,vi,aliases_en,notes,needs_review
Death Eater allies,Đồng minh của Tử Thần Thực Tử,Death Eater ally,,
History books,Sách lịch sử,History book,,
Mental spells,Bùa tâm trí,Mental spell,,
Namesakes,Người được đặt tên theo,Namesake,,
Snakes,Rắn,Snake,,
Weather magic,Ma thuật thời tiết,,,
Wizarding towns,Thị trấn thế giới pháp thuật,Wizarding town,,
Countries,Quốc gia,Country,,
Courses,Môn học,Course,,
Order of the Phoenix allies,Đồng minh của Hội Phượng Hoàng,Order of the Phoenix ally,,
Quidditch teams,Đội Quidditch,Quidditch team,,
Ranks and titles,Cấp bậc và chức danh,,,
Bedrooms,Phòng ngủ,Bedroom,,
Centenarians,Người trăm tuổi,Centenarian,,
Chocolate Frog Cards,Thẻ Sôcôla Ếch nhái,Chocolate Frog Card,,TRUE
Dragon heartstring wands,Đũa phép lõi gân tim rồng,Dragon heartstring wand,,
George Weasley's possessions,Đồ vật của George Weasley,George Weasley's possession,,
Hogwarts corridors and passages,Hành lang và lối đi Hogwarts,,,
Unidentified potions,Độc dược chưa xác định,Unidentified potion,,
Wand woods,Gỗ đũa phép,Wand wood,,
Yaxley family descendants,Hậu duệ nhà Yaxley,Yaxley family descendant,,
2014 Quidditch World Cup attendees,Khán giả Cúp Quidditch Thế giới 2014,2014 Quidditch World Cup attendee,,
Animagus forms,Hình dạng Người Hóa Thú,Animagus form,Người Hóa Thú;hóa thú,
British Isles,Quần đảo Anh,British Isle,,
Competitions,Cuộc thi,Competition,,
Department for the Regulation and Control of Magical Creatures,Cục Quản lý và Kiểm soát Sinh vật Huyền bí,,,
Fred Weasley's possessions,Đồ vật của Fred Weasley,Fred Weasley's possession,,
Gringotts,Ngân hàng Gringotts,,Ngân hàng Gringotts;Nhà băng Gringotts,
Hogsmeade residents,Cư dân Hogsmeade,Hogsmeade resident,,
Silver Chocolate Frog Cards,Thẻ Sôcôla Ếch nhái bạc,Silver Chocolate Frog Card,,TRUE
Wands crafted by Garrick Ollivander,Đũa phép do Garrick Ollivander chế tạo,,,
American individuals,Người Mỹ,American individual,,
Battles and skirmishes,Trận chiến và giao tranh,,,
Chocolate,Sô-cô-la,,,
Spiders,Nhện,Spider,,
Alchemy,Giả kim thuật,,,
Ancient magic,Ma thuật cổ,,,
Battle of the Department of Mysteries participants,Người tham gia Trận Sở Bảo Mật,Battle of the Department of Mysteries participant,,
Counties,Hạt (đơn vị địa chính),County,,
Deaths by Killing Curse,Chết vì Lời nguyền Chết chóc,,,
Defence Against the Dark Arts books,Sách Phòng chống Nghệ thuật Hắc ám,Defence Against the Dark Arts book,,
Imperius Curse victims,Nạn nhân Lời nguyền Độc đoán,Imperius Curse victim,,
Impersonated individuals,Người bị mạo danh,Impersonated individual,,
Magizoology,Môn Nghiên cứu Sinh vật Huyền bí,,,
Murderers,Kẻ giết người,Murderer,,
Neighbourhoods,Khu phố,Neighbourhood,,
Only children,Con một,,,
Rubeus Hagrid's possessions,Đồ vật của Rubeus Hagrid,Rubeus Hagrid's possession,,
Scottish individuals,Người Scotland,Scottish individual,,
Secrecy breaches,Vi phạm bảo mật,Secrecy breach,,
Wizard secrecy,Bí mật phù thuỷ,,,
Auror Office personnel,Nhân viên Phòng Thần sáng,,,
British Ministry of Magic positions,Chức vụ trong Bộ Pháp Thuật ,British Ministry of Magic position,,
Europe,Châu Âu,,,
Explosives,Chất nổ,Explosive,,
Magical games,Trò chơi ma thuật,Magical game,,
Minerva McGonagall's possessions,Đồ vật của Minerva McGonagall,Minerva McGonagall's possession,,
Muggle-borns,Phù thủy gốc Muggle,Muggle-born,gốc Muggle;Muggle sinh,
Rats,Chuột,Rat,,
Slug Club,Câu lạc bộ Slug,,,
Unidentified 19th-century Hogwarts student's possessions,Đồ vật của học sinh Hogwarts thế kỷ 19 không rõ tên,Unidentified 19th-century Hogwarts student's possession,,
Zonko's Joke Shop,Tiệm Giỡn Zonko,,Tiệm Giỡn của Zonko,
Azkaban convicts,Tù nhân Azkaban,Azkaban convict,,
Battle of the Department of Mysteries,Trận Sở Bảo Mật,Battle of the Department of Mystery,,
Cauldrons,Vạc,Cauldron,,
Dark wizards,Phù thủy Hắc ám,Dark wizard,,
Duelling Club members,Thành viên Câu lạc bộ Đấu tay đôi,Duelling Club member,,
First Wizarding War casualties,Thương vong trong Cuộc chiến Phù thủy lần thứ nhất,First Wizarding War casualty,,
Hair,Tóc,,,
Hexes,Bùa ếm,Hex,,
Living books,Sách sống,Living book,,
Newspaper segments,Mục báo,Newspaper segment,,
Objects,Đồ vật,Object,,
Plant-based magic,Ma thuật liên quan tới thực vật,,,
Pubs,Quán rượu,Pub,,
Weasley family,Nhà Weasley,,,
Awards,Giải thưởng,Award,,
Disowned House of Black descendants,Hậu duệ Nhà Black bị từ mặt,Disowned House of Black descendant,,
Draco Malfoy's possessions,Đồ vật của Draco Malfoy,Draco Malfoy's possession,,
Fire,Lửa,,,
First Order of the Phoenix,Hội Phượng Hoàng đời đầu tiên,,,TRUE
Ginevra Weasley's possessions,Đồ vật của Ginevra Weasley,Ginevra Weasley's possession,,
Hats,Mũ,Hat,,
Islands,Đảo,Island,,
Personal possessions,Đồ vật cá nhân,Personal possession,,
Potioneers,Người điều chế độc dược,Potioneer,,
Speaking objects,Vật biết nói,Speaking object,,
Battle of the Astronomy Tower participants,Người tham gia Trận Tháp Thiên Văn,Battle of the Astronomy Tower participant,,
Creatures affiliated with water,Sinh vật liên quan tới nước,,,
Death Eaters,Tử Thần Thực Tử,Death Eater,,
Dragon parts,Bộ phận rồng,Dragon part,,
Flight,Thuật bay,,,
Godric's Hollow,Thung lũng Godric,,,
Music,Âm nhạc,,,
Security,An ninh,,,
Severus Snape's possessions,Đồ vật của Severus Snape,Severus Snape's possession,,
Sorted in the 1980s,Được phân loại vào thập niên 1980,,,
Wand cores,Lõi đũa phép,Wand core,,
1990s births,Sinh vào thập niên 1990,1990s birth,,
20th century deaths,Mất vào thế kỷ 20,20th century death,,
Caves,Hang động,Cave,,
Communication,Liên lạc,,,
Crime,Tội phạm,,,
Cruciatus Curse victims,Nạn nhân Lời nguyền Tra tấn,Cruciatus Curse victim,,
Destroyed wands,Đũa phép bị phá hủy,Destroyed wand,,
Eggs,Trứng,Egg,,
Gobstones players,Người chơi Bi Xì Bùm,Gobstones player,Người chơi Gobstones,
Healers,Lương y,Healer,,
Love magic,Tình thuật,,,
Magical powers,Năng lực ma thuật,Magical power,,
Muggle-baiting,Trò chơi khăm dân Muggle,,,TRUE
Potions books,Sách Độc dược,Potions book,,
Prewett family descendants,Hậu duệ nhà Prewett,Prewett family descendant,,
Restaurants,Nhà hàng,Restaurant,,
Suits of armour,Bộ giáp,,,
Theatres,Nhà hát,Theatre,,
Water,Nước,,,
Widowed individuals,Người góa bụa,Widowed individual,,
Ailments,Bệnh tật,Ailment,,
Bartemius Crouch Junior's possessions,Đồ vật của Bartemius Crouch Con,Bartemius Crouch Junior's possession,,
Battle of Hogwarts,Trận Hogwarts,,,
Battle of the Seven Potters participants,Người tham gia Trận Bảy Potter,Battle of the Seven Potters participant,,TRUE
Blood-related magic,Ma thuật liên quan tới máu,,,
Bridges,Cây cầu,Bridge,,
Creatures found worldwide,Sinh vật có ở khắp thế giới,,,
Dark Arts books,Sách Nghệ thuật Hắc ám,Dark Arts book,,
Goblin-made objects,Đồ vật do yêu tinh chế tạo,Goblin-made object,,
Gringotts employees,Nhân viên Ngân hàng Gringotts,Gringotts employee,,
Hogwarts Headmasters and Headmistresses,Hiệu trưởng Hogwarts,,Hiệu trưởng,
Individual plants,Cá thể thực vật,Individual plant,,
Potter family,Nhà Potter,,,
Quills,Bút lông ngỗng,Quill,,
Rivers,Sông,River,,
Wales,Xứ Wales,Wale,,
10-inch wands,Đũa phép dài 10 inch,10-inch wand,,
Alastor Moody's possessions,Đồ vật của Alastor Moody,Alastor Moody's possession,,
Apothecaries,Tiệm dược thảo,Apothecary,Tiệm bào chế,
Award recipients,Người nhận giải thưởng,Award recipient,,
Clothes shops,Tiệm quần áo,Clothes shop,,
Duels,Cuộc đấu tay đôi,Duel,,
Emigrants,Người di cư,Emigrant,,
Fungi,Nấm,,,
Garrick Ollivander's possessions,Đồ vật của Garrick Ollivander,Garrick Ollivander's possession,,
Gryffindor House,Nhà Gryffindor,,,
Luna Lovegood's possessions,Đồ vật của Luna Lovegood,Luna Lovegood's possession,,
Passwords,Mật khẩu,Password,,
Powders (substance),Chất bột,,,
Resting places,Nơi an nghỉ,Resting place,,
Rosier family descendants,Hậu duệ nhà Rosier,Rosier family descendant,,
Rubeus Hagrid's pets,Thú cưng của Rubeus Hagrid,Rubeus Hagrid's pet,,
Second Order of the Phoenix,Hội Phượng Hoàng thời kỳ thứ hai,,,TRUE
Seekers,Tầm thủ,Seeker,,
Staircases in Hogwarts Castle,Cầu thang trong Lâu đài Hogwarts,,,
The Cave,Hang Động,,,
12-inch wands,Đũa phép dài 12 inch,12-inch wand,,
Asia,Châu Á,,,
Azkaban escapees,Người vượt ngục Azkaban,Azkaban escapee,,
British Ministry of Magic locations,Địa điểm của Bộ Pháp Thuật Anh,British Ministry of Magic location,,
Bulstrode family descendants,Hậu duệ nhà Bulstrode,Bulstrode family descendant,,
Castles,Lâu đài,Castle,,
China,Trung Quốc,,,
Counter-charms,Phản bùa,Counter-charm,,
Dragons,Rồng,Dragon,,
Electronics,Đồ điện tử,Electronic,,
Essays,Bài luận,Essay,,
Gilderoy Lockhart's fans,Người hâm mộ Gilderoy Lockhart,Gilderoy Lockhart's fan,,
Great Lake,Hồ Đen,,cái hồ,TRUE
Halls in Hogwarts Castle,Sảnh trong Lâu đài Hogwarts,,,
Healing spells,Bùa chữa lành,Healing spell,,
Humans,Con người,Human,,
Individuals with shortened names,Người có tên viết tắt,Individuals with shortened name,,
Mental potions,Độc dược tâm trí,Mental potion,,
Mountains,Núi,Mountain,,
Neville Longbottom's possessions,Đồ vật của Neville Longbottom,Neville Longbottom's possession,,
Red-eyed individuals,Người mắt đỏ,Red-eyed individual,,
Sleep,Giấc ngủ,,,
Study of Ancient Runes,Mông Nghiên cứu Cổ ngữ Rune,Study of Ancient Rune,môn Cổ ngữ Rune,
Transfiguration books,Sách Biến hình,Transfiguration book,,
Trolls,Quỷ khổng lồ,Troll,,
Beaters,Tấn thủ,Beater,,
Beauxbatons,Trường Beauxbatons,Beauxbaton,Trường Beauxbatons,
Brazil,Brazil,,,
British Ministry of Magic employees,Nhân viên Bộ Pháp Thuật,British Ministry of Magic employee,,
Broomsticks,Chổi bay,Broomstick,cây chổi,
Cakes,Bánh ngọt,Cake,,
Death-related magic,Ma thuật liên quan tới cái chết,,,
Gardens,Vườn,Garden,,
Ghosts,Ma,Ghost,,
Magically protected locations,Địa điểm được ma thuật bảo vệ,Magically protected location,,
Meeting at Malfoy Manor participants,Người tham dự Cuộc họp tại Trang viên Malfoy,Meeting at Malfoy Manor participant,,
Newton Scamander's suitcase,Va-li của Newton Scamander,,,
Nuts and seeds,Hạt và quả hạch,,,
Opening spells,Bùa mở,Opening spell,,
Parks,Công viên,Park,,
Potion inventors,Người phát minh độc dược,Potion inventor,,
Quidditch stadiums,Sân vận động Quidditch,Quidditch stadium,,
Slytherin House,Nhà Slytherin,,,
Spell inventors,Người phát minh bùa chú,Spell inventor,,
Transportation,Phương tiện di chuyển,,,
Vanishments,Ma thuật tiêu biến,Vanishment,,
Weasley family possessions,Đồ vật của nhà Weasley,Weasley family possession,,
Wizard's Chess players,Người chơi cờ phù thủy,Wizard's Chess player,,
1870s births,Sinh vào thập niên 1870,1870s birth,,
1997 deaths,Mất năm 1997,1997 death,,
Apparition,Độn thổ,,,
Beast Chocolate Frog Cards,Thẻ Sôcôla Ếch nhái Sinh vật,Beast Chocolate Frog Card,,TRUE
Beaufort family descendants,Hậu duệ nhà Beaufort,Beaufort family descendant,,
Black-eyed individuals,Người mắt đen,Black-eyed individual,,
Celebrations,Lễ hội,Celebration,,
Creatures from Europe,Sinh vật từ châu Âu,,,
Department of Mysteries,Sở Bảo Mật,Department of Mystery,Sở Bí Mật,
Discipline at Hogwarts,Hình thức kỷ luật tại Hogwarts,,,
Goblins,Yêu tinh,Goblin,,
Half-orphans,Trẻ mồ côi cha hoặc mẹ,Half-orphan,,
Heirlooms,Vật gia truyền,Heirloom,,
Hogwarts entrances,Lối vào Hogwarts,Hogwarts entrance,,
Hogwarts storerooms,Nhà kho Hogwarts,Hogwarts storeroom,,
Hufflepuff House,Nhà Hufflepuff,,,
Ice,Băng,,,
International Confederation of Wizards,Liên đoàn Phù thủy Quốc tế,International Confederation of Wizard,,
Muggle government of the United Kingdom,Chính phủ Muggle của Vương quốc Anh,,,
Musical instruments,Nhạc cụ,Musical instrument,,
Pumpkins,Bí ngô,Pumpkin,,
Quidditch equipment,Trang thiết bị Quidditch,,,
Quidditch players,Cầu thủ Quidditch,Quidditch player,,
Return of Lord Voldemort,Sự trở lại của Chúa tể Voldemort,,Chúa tể Hắc ám;Voldemort,
Skirmish at Malfoy Manor participants,Người tham gia Giao tranh tại Trang viên Malfoy,Skirmish at Malfoy Manor participant,,
Sparks,Tia lửa,Spark,,
St Mungo's patients,Bệnh nhân bệnh viện Thánh Mungo,St Mungo's patient,,
Tudor-era individuals,Người thời Tudor,Tudor-era individual,,
Weapons,Vũ khí,Weapon,,
1994 Quidditch World Cup,Cúp Quidditch Thế giới 1994,,,
9-inch wands,Đũa phép dài 9 inch,9-inch wand,,
Argus Filch's possessions,Đồ vật của Argus Filch,Argus Filch's possession,,
Arthur Weasley's Muggle artefacts,Đồ vật Muggle của Arthur Weasley,Arthur Weasley's Muggle artefact,,
Badges,Huy hiệu,Badge,,
British and Irish Quidditch League Quidditch teams,Đội Quidditch của Liên đoàn Anh và Ireland,,,
Busts,Tượng bán thân,Bust,,
Creatures from the United States of America,Sinh vật từ Hoa Kỳ,,,
European individuals,Người châu Âu,European individual,,
Furniture,Nội thất,,,
Germany,Nước Đức,,,
Great Hall,Đại Sảnh Đường,,Đại Sảnh;Sảnh đường,
Hogwarts locations with a namesake,Địa điểm được đặt theo tên người tại Hogwarts,,,
Hogwarts Quidditch Captains,Đội trưởng Quidditch Hogwarts,Hogwarts Quidditch Captain,,
Hogwarts students during the Marauders' era,Học sinh Hogwarts thời Đạo Tặc,,,
Italy,Nước Ý,,,
Journalists,Nhà báo,Journalist,,
Locations used by the Death Eaters,Địa điểm được Tử thần Thực tử sử dụng,Locations used by the Death Eater,,
Magical self-help books,Sách tự học ma thuật,Magical self-help book,,
Maps and charts,Bản đồ và biểu đồ,,,
Mirrors,Gương,Mirror,,
Plot to open the Chamber of Secrets,Âm mưu mở cửa Phòng chứa Bí mật,Plot to open the Chamber of Secret,,
Ravenclaw House,Nhà Ravenclaw,,,
Roads,Đường,Road,,
Soups,Súp,Soup,,
Spain,Tây Ban Nha,,,
The Tale of the Three Brothers,Truyện Ba Anh Em,The Tale of the Three Brother,,
Toads,Cóc,Toad,,
Transfiguration,Biến hình,,môn Biến hình;lớp Biến hình,
Unidentified individuals,Người chưa xác định danh tính,Unidentified individual,,
Yellow-eyed individuals,Người mắt vàng,Yellow-eyed individual,,
11-inch wands,Đũa phép dài 11 inch,11-inch wand,,
Accidental deaths,Cái chết do tai nạn,Accidental death,,
Break-ins and infiltrations,Đột nhập và xâm nhập,,,
Butterflies,Bướm,Butterfly,,
Counter-curses,Phản nguyền,Counter-curse,,
Creatures affiliated with fire,Sinh vật liên quan tới lửa,,,
Examinations and tests,Kỳ thi và bài kiểm tra,,,
Exploding Snap players,Người chơi Bài Nổ,Exploding Snap player,,
Explosive Enterprises,Sản phẩm Pháo nổ của anh em Weasley,Explosive Enterprise,,
Gellert Grindelwald's possessions,Đồ vật của Gellert Grindelwald,Gellert Grindelwald's possession,,
Gloves,Găng tay,Glove,,
Heads of House,Chủ nhiệm Nhà,,,
House of Black descendants,Hậu duệ Nhà Black,House of Black descendant,,
Inventors,Nhà phát minh,Inventor,,
Japan,Nhật Bản,,,
Letters,Thư,Letter,,
Plot to murder Peter Pettigrew,Âm mưu giết Peter Pettigrew,,,
Rosaceae,Họ Hoa hồng,,,
Tom Riddle's possessions,Đồ vật của Tom Riddle,Tom Riddle's possession,,
Twins,Cặp song sinh,Twin,song sinh,
Unidentified Slytherins,Học sinh Slytherin chưa xác định,Unidentified Slytherin,,
Valentine's Day,Ngày Valentine,,lễ Tình nhân,
19th century births,Sinh vào thế kỷ 19,19th century birth,,
Artists,Nghệ sĩ,Artist,,
Azkaban,Nhà tù Azkaban,,Nhà tù Azkaban;Ngục Azkaban,
Battle of Hogwarts fatalities,Người tử trận trong Trận Hogwarts,Battle of Hogwarts fatality,,
Bookshops,Tiệm sách,Bookshop,,
Cafés,Quán cà phê,,,
Crabbe family descendants,Hậu duệ nhà Crabbe,Crabbe family descendant,,
Creatures from Great Britain,Sinh vật từ Vương quốc Anh,,,
Creatures from Ireland,Sinh vật từ Ireland,,,
Cuisine,Ẩm thực,,,
Daily Prophet,Nhật Báo Tiên Tri,,báo Tiên Tri,
Daily Prophet staff,Nhân viên Nhật Báo Tiên Tri,,,
Frogs,Ếch,Frog,,
Gold Chocolate Frog Cards,Thẻ Sôcôla Ếch nhái vàng,Gold Chocolate Frog Card,,TRUE
Head Boys and Girls,Thủ lĩnh Nam sinh và Nữ sinh,,Thủ lĩnh Nam sinh;Thủ lĩnh Nữ sinh,
Herbology books,Sách Thảo dược học,Herbology book,,
Hogwarts Castle namesakes,Được đặt tên cho địa điểm trong lâu đài Hogwarts,Hogwarts Castle namesake,,
Hogwarts clubs,Câu lạc bộ tại Hogwarts,Hogwarts club,,
Hogwarts Express,Tàu tốc hành Hogwarts,,Tàu tốc hành,
Hogwarts towers,Tháp tại Hogwarts,Hogwarts tower,,
Horcrux possessors,Người sở hữu Trường Sinh Linh Giá,Horcrux possessor,,
Jobs,Nghề nghiệp,Job,,
Keys,Chìa khóa,Key,,
Lakes,Hồ,Lake,,
Languages,Ngôn ngữ,Language,,
Mascots,Linh vật,Mascot,,
